Country,Year,Number below $3 a day
Indonesia,1999,141029369
Indonesia,2000,141913938
Indonesia,2001,136435133
Indonesia,2002,104024227
Indonesia,2003,102506240
Indonesia,2004,103511510
Indonesia,2005,94873939
Indonesia,2006,109557782
Indonesia,2007,97377700
Indonesia,2008,91272284
Indonesia,2009,92119231
Indonesia,2010,83992295
Indonesia,2011,77860101
Indonesia,2012,67162878
Indonesia,2013,69506291
Indonesia,2014,66430830
Indonesia,2015,56512257
Indonesia,2016,47755897
Indonesia,2017,39451657
Indonesia,2018,33649751
Indonesia,2019,29563793
Indonesia,2020,27063139
Indonesia,2021,23702763
Indonesia,2022,21898331
Indonesia,2023,18885194
Indonesia,2024,15416395
Iran,1986,11220382
Iran,1990,12617689
Iran,1994,9696262
Iran,1998,9779921
Iran,2005,3222381
Iran,2006,3285495
Iran,2009,3784075
Iran,2011,1774928
Iran,2012,1406812
Iran,2013,1534037
Iran,2014,2696567
Iran,2015,2480827
Iran,2016,2498824
Iran,2017,2274640
Iran,2018,2720112
Iran,2019,3732652
Iran,2020,4080246
Iran,2021,3289651
Iran,2022,2518427
Iran,2023,2259452
Iraq,2006,162039
Iraq,2012,188173
Iraq,2023,247651
Ireland,1987,44082
Ireland,1994,17644
Ireland,1995,17828
Ireland,1996,8149
Ireland,2000,6784
Ireland,2002,9242
Ireland,2003,9018
Ireland,2004,3458
Ireland,2005,2608
Ireland,2006,20173
Ireland,2007,5689
Ireland,2008,9011
Ireland,2009,26195
Ireland,2010,34148
Ireland,2011,30835
Ireland,2012,24743
Ireland,2013,34263
Ireland,2014,20747
Ireland,2015,20115
Ireland,2016,16179
Ireland,2017,14617
Ireland,2018,4804
Ireland,2019,2781
Ireland,2020,9100
Ireland,2021,6600
Ireland,2022,10375
Israel,1979,14361
Israel,1986,20606
Israel,1992,11031
Israel,1997,27214
Israel,2001,16032
Israel,2002,49107
Israel,2003,62754
Israel,2004,66131
Israel,2005,67341
Israel,2006,35226
Israel,2007,35313
Israel,2008,53925
Israel,2009,55346
Israel,2010,35084
Israel,2011,20921
Israel,2012,58982
Israel,2013,38248
Israel,2014,60022
Israel,2015,41385
Israel,2016,41289
Israel,2017,63068
Israel,2018,63666
Israel,2019,90328
Israel,2020,68783
Israel,2021,67544
Italy,1977,128174
Italy,1978,271402
Italy,1979,275020
Italy,1980,128030
Italy,1981,107433
Italy,1982,132395
Italy,1983,123441
Italy,1984,139150
Italy,1986,139736
Italy,1987,666458
Italy,1989,0
Italy,1991,129971
Italy,1993,818768
Italy,1995,422892
Italy,1998,991567
Italy,2000,711501
Italy,2002,997832
Italy,2003,505284
Italy,2004,456107
Italy,2005,461564
Italy,2006,444651
Italy,2007,460613
Italy,2008,501558
Italy,2009,637683
Italy,2010,836082
Italy,2011,751029
Italy,2012,840434
Italy,2013,971684
Italy,2014,880721
Italy,2015,1245152
Italy,2016,1077893
Italy,2017,932977
Italy,2018,1028160
Italy,2019,618204
Italy,2020,520935
Italy,2021,513053
Italy,2022,404192
Jamaica,1988,322896
Jamaica,1990,276845
Jamaica,1993,503213
Jamaica,1996,209103
Jamaica,1999,148174
Jamaica,2002,169234
Jamaica,2004,121338
Jamaica,2018,11982
Jamaica,2021,39357
Japan,2008,1262522
Japan,2009,1095624
Japan,2010,882312
Japan,2011,611026
Japan,2012,1911502
Japan,2013,1222808
Japan,2014,946033
Japan,2015,512441
Japan,2016,933809
Japan,2017,797752
Japan,2018,1246105
Japan,2019,1546752
Japan,2020,1531691
Jordan,1986,0
Jordan,1992,46932
Jordan,1997,0
Jordan,2002,58613
Jordan,2006,18740
Jordan,2008,8293
Jordan,2010,7644
Kazakhstan,1993,2529503
Kazakhstan,1996,2399608
Kazakhstan,2001,3220766
Kazakhstan,2002,2536982
Kazakhstan,2003,1931533
Kazakhstan,2004,1197594
Kazakhstan,2005,2325715
Kazakhstan,2006,384049
Kazakhstan,2007,171056
Kazakhstan,2008,129333
Kazakhstan,2009,129077
Kazakhstan,2010,87902
Kazakhstan,2011,39653
Kazakhstan,2012,25281
Kazakhstan,2013,13170
Kazakhstan,2014,12465
Kazakhstan,2015,18977
Kazakhstan,2016,31101
Kazakhstan,2017,21538
Kazakhstan,2018,11574
Kazakhstan,2019,15305
Kazakhstan,2020,7295
Kazakhstan,2021,7932
Kenya,1992,7811408
Kenya,1994,8272960
Kenya,1997,9155021
Kenya,2005,16137598
Kenya,2015,17994903
Kenya,2020,23198970
Kenya,2021,24720223
Kiribati,2006,21285
Kiribati,2019,7637
Kosovo,2017,272515
Kosovo,2018,372180
Kosovo,2019,202410
Kosovo,2020,300402
Kosovo,2021,446178
Kyrgyzstan,2000,3241382
Kyrgyzstan,2001,3041723
Kyrgyzstan,2002,2900482
Kyrgyzstan,2003,2856415
Kyrgyzstan,2004,1661054
Kyrgyzstan,2005,1888139
Kyrgyzstan,2006,1356946
Kyrgyzstan,2007,1229915
Kyrgyzstan,2008,734644
Kyrgyzstan,2009,528984
Kyrgyzstan,2010,688865
Kyrgyzstan,2011,518484
Kyrgyzstan,2012,593799
Kyrgyzstan,2013,778389
Kyrgyzstan,2014,476050
Kyrgyzstan,2015,663791
Kyrgyzstan,2016,492341
Kyrgyzstan,2017,516756
Kyrgyzstan,2018,380748
Kyrgyzstan,2019,324220
Kyrgyzstan,2020,631273
Kyrgyzstan,2021,386990
Kyrgyzstan,2022,317324
Laos,1992,1932030
Laos,1997,3205438
Laos,2002,2429512
Laos,2007,2185076
Laos,2012,1420049
Laos,2018,1123223
Latin America and the Caribbean (PIP),1990,93633712
Latin America and the Caribbean (PIP),1991,92332635
Latin America and the Caribbean (PIP),1992,94538491
Latin America and the Caribbean (PIP),1993,95942829
Latin America and the Caribbean (PIP),1994,94280560
Latin America and the Caribbean (PIP),1995,91102531
Latin America and the Caribbean (PIP),1996,99399198
Latin America and the Caribbean (PIP),1997,98715182
Latin America and the Caribbean (PIP),1998,98939839
Latin America and the Caribbean (PIP),1999,101936272
Latin America and the Caribbean (PIP),2000,96074072
Latin America and the Caribbean (PIP),2001,96171314
Latin America and the Caribbean (PIP),2002,92891911
Latin America and the Caribbean (PIP),2003,91531198
Latin America and the Caribbean (PIP),2004,85451055
Latin America and the Caribbean (PIP),2005,80576783
Latin America and the Caribbean (PIP),2006,68695668
Latin America and the Caribbean (PIP),2007,62593004
Latin America and the Caribbean (PIP),2008,58188665
Latin America and the Caribbean (PIP),2009,56328715
Latin America and the Caribbean (PIP),2010,50677761
Latin America and the Caribbean (PIP),2011,46707358
Latin America and the Caribbean (PIP),2012,45042563
Latin America and the Caribbean (PIP),2013,41278161
Latin America and the Caribbean (PIP),2014,39421439
Latin America and the Caribbean (PIP),2015,37545853
Latin America and the Caribbean (PIP),2016,38975372
Latin America and the Caribbean (PIP),2017,38808953
Latin America and the Caribbean (PIP),2018,38557195
Latin America and the Caribbean (PIP),2019,39450041
Latin America and the Caribbean (PIP),2020,37297677
Latin America and the Caribbean (PIP),2021,41624090
Latin America and the Caribbean (PIP),2022,33620283
Latin America and the Caribbean (PIP),2023,30668450
Latin America and the Caribbean (PIP),2024,30306703
Latin America and the Caribbean (PIP),2025,30251771
Latvia,1993,0
Latvia,1995,53528
Latvia,1996,92711
Latvia,2004,82702
Latvia,2005,69636
Latvia,2006,43160
Latvia,2007,18309
Latvia,2008,34544
Latvia,2009,55653
Latvia,2010,54459
Latvia,2011,34134
Latvia,2012,29271
Latvia,2013,30975
Latvia,2014,22250
Latvia,2015,20434
Latvia,2016,18836
Latvia,2017,19085
Latvia,2018,10776
Latvia,2019,6459
Latvia,2020,9732
Latvia,2021,9246
Latvia,2022,7971
Lebanon,2011,3181
Lebanon,2022,339956
Lesotho,1986,1059254
Lesotho,1994,1154587
Lesotho,2002,1487784
Lesotho,2017,904486
Liberia,2007,2240694
Liberia,2014,1448935
Liberia,2016,1595931
Lithuania,1993,525509
Lithuania,2004,134333
Lithuania,2005,91260
Lithuania,2006,60478
Lithuania,2007,51749
Lithuania,2008,57922
Lithuania,2009,86114
Lithuania,2010,61446
Lithuania,2011,26958
Lithuania,2012,31376
Lithuania,2013,35484
Lithuania,2014,50324
Lithuania,2015,30377
Lithuania,2016,42425
Lithuania,2017,33012
Lithuania,2018,27489
Lithuania,2019,16859
Lithuania,2020,13214
Lithuania,2021,8921
Lithuania,2022,22703
Luxembourg,1985,0
Luxembourg,1986,0
Luxembourg,1987,0
Luxembourg,1988,0
Luxembourg,1989,0
Luxembourg,1990,0
Luxembourg,1991,0
Luxembourg,1992,0
Luxembourg,1993,0
Luxembourg,1994,0
Luxembourg,1995,0
Luxembourg,1996,0
Luxembourg,1997,0
Luxembourg,1998,0
Luxembourg,1999,0
Luxembourg,2000,0
Luxembourg,2001,0
Luxembourg,2002,0
Luxembourg,2003,324
Luxembourg,2004,83
Luxembourg,2005,192
Luxembourg,2006,18
Luxembourg,2007,105
Luxembourg,2008,0
Luxembourg,2009,238
Luxembourg,2010,166
Luxembourg,2011,715
Luxembourg,2012,232
Luxembourg,2013,484
Luxembourg,2014,892
Luxembourg,2015,1765
Luxembourg,2016,682
Luxembourg,2017,1736
Luxembourg,2018,1848
Luxembourg,2019,627
Luxembourg,2020,0
Luxembourg,2021,527
Luxembourg,2022,682
Madagascar,1980,5559423
Madagascar,1993,11065387
Madagascar,1997,12093085
Madagascar,1999,12563729
Madagascar,2001,13523922
Madagascar,2005,16073928
Madagascar,2010,19364964
Madagascar,2012,21000147
Malawi,1997,6942656
Malawi,2004,9358080
Malawi,2010,10879923
Malawi,2016,12687615
Malawi,2019,14471520
Malaysia,1984,982360
Malaysia,1987,953166
Malaysia,1989,855188
Malaysia,1992,942482
Malaysia,1995,1063900
Malaysia,1997,366371
Malaysia,2003,783065
Malaysia,2006,438937
Malaysia,2008,410799
Malaysia,2011,107366
Malaysia,2013,32791
Malaysia,2015,16589
Malaysia,2018,9997
Malaysia,2021,4510
Maldives,2002,55272
Maldives,2009,46473
Maldives,2016,387
Maldives,2019,0
Mali,1994,8906410
Mali,2001,8186597
Mali,2006,9025106
Mali,2009,10064251
Mali,2018,6111273
Mali,2021,8223746
Malta,2006,2226
Malta,2007,2146
Malta,2008,734
Malta,2009,1976
Malta,2010,1072
Malta,2011,873
Malta,2012,786
Malta,2013,126
Malta,2014,0
Malta,2015,376
Malta,2016,517
Malta,2017,772
Malta,2018,772
Malta,2019,1536
Malta,2020,2030
Malta,2021,631
Malta,2022,585
Marshall Islands,2019,911
Mauritania,1987,915589
Mauritania,1993,1177094
Mauritania,1995,741578
Mauritania,2000,811600
Mauritania,2004,828041
Mauritania,2008,616473
Mauritania,2014,450496
Mauritania,2019,464788
Mauritius,2006,13818
Mauritius,2012,13485
Mauritius,2017,6833
Mexico,1984,10992635
Mexico,1989,12004015
Mexico,1992,11462227
Mexico,1994,12181827
Mexico,1996,20057037
Mexico,1998,20923659
Mexico,2000,16121362
Mexico,2002,13002918
Mexico,2004,11533711
Mexico,2005,12338881
Mexico,2006,9698953
Mexico,2008,11129456
Mexico,2010,9554728
Mexico,2012,8517380
Mexico,2014,8622699
Mexico,2016,5424162
Mexico,2018,4850951
Mexico,2020,5396612
Mexico,2022,2997195
Micronesia (country),2005,17550
Micronesia (country),2013,28270
Micronesia (country) (urban),2000,12655
Middle East and North Africa (PIP),1990,29137195
Middle East and North Africa (PIP),1991,30431986
Middle East and North Africa (PIP),1992,28366963
Middle East and North Africa (PIP),1993,27803419
Middle East and North Africa (PIP),1994,27226002
Middle East and North Africa (PIP),1995,27877467
Middle East and North Africa (PIP),1996,25513292
Middle East and North Africa (PIP),1997,24836114
Middle East and North Africa (PIP),1998,23351388
Middle East and North Africa (PIP),1999,22597899
Middle East and North Africa (PIP),2000,21282395
Middle East and North Africa (PIP),2001,21232118
Middle East and North Africa (PIP),2002,19992848
Middle East and North Africa (PIP),2003,18947205
Middle East and North Africa (PIP),2004,17898000
Middle East and North Africa (PIP),2005,17584757
Middle East and North Africa (PIP),2006,17098353
Middle East and North Africa (PIP),2007,16921924
Middle East and North Africa (PIP),2008,16848535
Middle East and North Africa (PIP),2009,15948311
Middle East and North Africa (PIP),2010,14061902
Middle East and North Africa (PIP),2011,14615819
Middle East and North Africa (PIP),2012,14958830
Middle East and North Africa (PIP),2013,17100210
Middle East and North Africa (PIP),2014,19955903
Middle East and North Africa (PIP),2015,25152041
Middle East and North Africa (PIP),2016,29780890
Middle East and North Africa (PIP),2017,30141708
Middle East and North Africa (PIP),2018,30538237
Middle East and North Africa (PIP),2019,31266567
Middle East and North Africa (PIP),2020,36471389
Middle East and North Africa (PIP),2021,37107817
Middle East and North Africa (PIP),2022,37101723
Middle East and North Africa (PIP),2023,38808092
Middle East and North Africa (PIP),2024,40906829
Middle East and North Africa (PIP),2025,43409636
Moldova,1997,560772
Moldova,1998,936505
Moldova,1999,1288740
Moldova,2000,1199045
Moldova,2001,939383
Moldova,2002,580226
Moldova,2003,291249
Moldova,2004,334554
Moldova,2005,479013
Moldova,2006,98058
Moldova,2007,45474
Moldova,2008,48688
Moldova,2009,42127
Moldova,2010,23905
Moldova,2011,13301
Moldova,2012,14913
Moldova,2013,4221
Moldova,2014,142
Moldova,2015,1558
Moldova,2016,4622
Moldova,2017,1687
Moldova,2018,494
Moldova,2019,763
Moldova,2021,4274
Moldova,2022,1000
Mongolia,1995,491913
Mongolia,1998,921692
Mongolia,2002,458174
Mongolia,2007,104905
Mongolia,2010,95689
Mongolia,2011,61050
Mongolia,2012,30745
Mongolia,2014,23130
Mongolia,2016,59873
Mongolia,2018,54255
Mongolia,2022,15102
Montenegro,2012,34764
Montenegro,2013,32089
Montenegro,2014,24006
Montenegro,2015,22489
Montenegro,2016,20647
Montenegro,2017,28920
Montenegro,2018,24321
Montenegro,2019,15509
Montenegro,2020,13937
Montenegro,2021,15442
Morocco,1984,4888054
Morocco,1990,2778345
Morocco,1998,4842726
Morocco,2000,4827986
Morocco,2006,2919937
Morocco,2013,1249655
Mozambique,1996,14571108
Mozambique,2002,16791151
Mozambique,2008,18012567
Mozambique,2014,19431937
Mozambique,2019,25257466
Myanmar,2015,9319001
Myanmar,2017,5327653
Namibia,1993,932129
Namibia,2003,920741
Namibia,2009,808424
Namibia,2015,546845
Nauru,2012,1015
Nepal,1984,14300069
Nepal,1995,15913336
Nepal,2003,14348173
Nepal,2010,5884206
Nepal,2022,723708
Netherlands,1983,107584
Netherlands,1987,66224
Netherlands,1990,179597
Netherlands,1993,225531
Netherlands,1999,32082
Netherlands,2004,55482
Netherlands,2005,24206
Netherlands,2006,7485
Netherlands,2007,4690
Netherlands,2008,28689
Netherlands,2009,37717
Netherlands,2010,7882
Netherlands,2011,23279
Netherlands,2012,12707
Netherlands,2013,15261
Netherlands,2014,25150
Netherlands,2015,11563
Netherlands,2016,9825
Netherlands,2017,35306
Netherlands,2018,19323
Netherlands,2019,16604
Netherlands,2020,7116
Netherlands,2021,17053
Nicaragua,1993,2099305
Nicaragua,1998,1696889
Nicaragua,2001,1338610
Nicaragua,2005,881339
Nicaragua,2009,787065
Nicaragua,2014,398591
Niger,1992,7974670
Niger,1994,8457458
Niger,2005,11534364
Niger,2007,12419783
Niger,2011,11824314
Niger,2014,11587913
Niger,2018,13349272
Niger,2021,15066246
Nigeria,1985,43643925
Nigeria,1992,56474168
Nigeria,1996,69742473
Nigeria,2003,71425928
Nigeria,2010,65044079
Nigeria,2012,66883309
Nigeria,2015,69050171
Nigeria,2018,71240545
North Macedonia,2009,237424
North Macedonia,2010,249472
North Macedonia,2011,211814
North Macedonia,2012,175808
North Macedonia,2013,141914
North Macedonia,2014,123568
North Macedonia,2015,133956
North Macedonia,2016,108444
North Macedonia,2017,107079
North Macedonia,2018,80851
North Macedonia,2019,73931
Norway,1979,9266
Norway,1986,10205
Norway,1991,20254
Norway,1995,21405
Norway,2000,10557
Norway,2003,9988
Norway,2004,13540
Norway,2005,9805
Norway,2006,7667
Norway,2007,7268
Norway,2008,11451
Norway,2009,4198
Norway,2010,7382
Norway,2011,6365
Norway,2012,6382
Norway,2013,8376
Norway,2014,5801
Norway,2015,8823
Norway,2016,14692
Norway,2017,15390
Norway,2018,14969
Norway,2019,10184
Norway,2020,15867
Norway,2021,9207
Norway,2022,16080
Other high income countries (PIP),1990,5623130
Other high income countries (PIP),1991,5793975
Other high income countries (PIP),1992,6431469
Other high income countries (PIP),1993,7624714
Other high income countries (PIP),1994,7341289
Other high income countries (PIP),1995,7233135
Other high income countries (PIP),1996,6591634
Other high income countries (PIP),1997,6518599
Other high income countries (PIP),1998,6492358
Other high income countries (PIP),1999,6204326
Other high income countries (PIP),2000,5929533
Other high income countries (PIP),2001,6869938
Other high income countries (PIP),2002,7096832
Other high income countries (PIP),2003,7010074
Other high income countries (PIP),2004,6417455
Other high income countries (PIP),2005,6372290
Other high income countries (PIP),2006,6240683
Other high income countries (PIP),2007,6193245
Other high income countries (PIP),2008,6324613
Other high income countries (PIP),2009,6591188
Other high income countries (PIP),2010,7324098
Other high income countries (PIP),2011,6491932
Other high income countries (PIP),2012,8184301
Other high income countries (PIP),2013,7593919
Other high income countries (PIP),2014,7702708
Other high income countries (PIP),2015,7914849
Other high income countries (PIP),2016,8142170
Other high income countries (PIP),2017,7810009
Other high income countries (PIP),2018,7432280
Other high income countries (PIP),2019,7582161
Other high income countries (PIP),2020,5820721
Other high income countries (PIP),2021,5481872
Other high income countries (PIP),2022,7792427
Other high income countries (PIP),2023,7697846
Other high income countries (PIP),2024,7709204
Other high income countries (PIP),2025,7727951
Pakistan,1987,84762631
Pakistan,1990,93854208
Pakistan,1996,63693175
Pakistan,1998,74694002
Pakistan,2001,90693514
Pakistan,2004,70849401
Pakistan,2005,72462091
Pakistan,2007,65201730
Pakistan,2010,53709044
Pakistan,2011,53346964
Pakistan,2013,45184523
Pakistan,2015,36987874
Pakistan,2018,37799718
Palestine,2004,56733
Palestine,2005,41814
Palestine,2006,16145
Palestine,2007,102295
Palestine,2009,22503
Palestine,2010,24522
Palestine,2011,14538
Palestine,2016,61070
Palestine,2023,107103
Panama,1979,299120
Panama,1989,715678
Panama,1991,680320
Panama,1995,575336
Panama,1997,564723
Panama,1998,572099
Panama,1999,522932
Panama,2000,492048
Panama,2001,637979
Panama,2002,538571
Panama,2003,535780
Panama,2004,505349
Panama,2005,481781
Panama,2006,530516
Panama,2007,445916
Panama,2008,315116
Panama,2009,236877
Panama,2010,277895
Panama,2011,224610
Panama,2012,279624
Panama,2013,226379
Panama,2014,248314
Panama,2015,189467
Panama,2016,193316
Panama,2017,175284
Panama,2018,156149
Panama,2019,123473
Panama,2021,143420
Panama,2023,166417
Papua New Guinea,1996,3022990
Papua New Guinea,2009,3946359
Paraguay,1990,102780
Paraguay,1995,838318
Paraguay,1997,714772
Paraguay,1999,752264
Paraguay,2001,698805
Paraguay,2002,1030539
Paraguay,2003,736534
Paraguay,2004,577555
Paraguay,2005,547661
Paraguay,2006,774951
Paraguay,2007,698324
Paraguay,2008,444211
Paraguay,2009,517728
Paraguay,2010,538347
Paraguay,2011,520021
Paraguay,2012,379640
Paraguay,2013,246049
Paraguay,2014,258986
Paraguay,2015,259370
Paraguay,2016,260540
Paraguay,2017,150548
Paraguay,2018,197508
Paraguay,2019,159221
Paraguay,2020,168734
Paraguay,2021,124292
Paraguay,2022,235320
Paraguay,2023,174952
Peru,1997,6789788
Peru,1998,6618335
Peru,1999,6886066
Peru,2000,6793644
Peru,2001,7387512
Peru,2002,6656300
Peru,2003,6193676
Peru,2004,6558688
Peru,2005,7130733
Peru,2006,6188125
Peru,2007,5390394
Peru,2008,4540167
Peru,2009,3951148
Peru,2010,3257798
Peru,2011,3030021
Peru,2012,2815334
Peru,2013,2569280
Peru,2014,2407252
Peru,2015,2423835
Peru,2016,2305520
Peru,2017,2291103
Peru,2018,1937858
Peru,2019,1758509
Peru,2020,3385052
Peru,2021,1720739
Peru,2022,1620487
Peru,2023,1989695
Philippines,1985,23928765
Philippines,1988,24492682
Philippines,1991,26162370
Philippines,1994,26747045
Philippines,1997,22710943
Philippines,2000,22921265
Philippines,2003,22248292
Philippines,2006,24935222
Philippines,2009,22122020
Philippines,2012,24981294
Philippines,2015,19945071
Philippines,2018,14679164
Philippines,2021,17752037
Philippines,2023,13248946
Poland,1985,0
Poland,1986,183990
Poland,1987,0
Poland,1989,0
Poland,1992,85786
Poland,1995,964849
Poland,1999,385301
Poland,2004,1087778
Poland,2005,526204
Poland,2006,355160
Poland,2007,221425
Poland,2008,122993
Poland,2009,210255
Poland,2010,217141
Poland,2011,213012
Poland,2012,162669
Poland,2013,216213
Poland,2014,215244
Poland,2015,198916
Poland,2016,137093
Poland,2017,160703
Poland,2018,116208
Poland,2019,38900
Poland,2020,71655
Poland,2021,42268
Poland,2022,119271
Portugal,2003,113229
Portugal,2004,69706
Portugal,2005,73981
Portugal,2006,18455
Portugal,2007,64786
Portugal,2008,36730
Portugal,2009,18002
Portugal,2010,23226
Portugal,2011,65834
Portugal,2012,92782
Portugal,2013,109143
Portugal,2014,80785
Portugal,2015,75641
Portugal,2016,42341
Portugal,2017,45407
Portugal,2018,39324
Portugal,2019,19021
Portugal,2020,65570
Portugal,2021,33928
Portugal,2022,23451
Qatar,2017,0
Romania,1989,0
Romania,1992,0
Romania,1994,4185087
Romania,1995,793221
Romania,1997,958283
Romania,2006,2347214
Romania,2007,1700557
Romania,2008,1241655
Romania,2009,1088709
Romania,2010,1273780
Romania,2011,1433912
Romania,2012,1678495
Romania,2013,1747437
Romania,2014,1769097
Romania,2015,1505936
Romania,2016,1028924
Romania,2017,958919
Romania,2018,727986
Romania,2019,599060
Romania,2020,468002
Romania,2021,387983
Romania,2022,276738
Russia,1993,9235621
Russia,1996,10557890
Russia,1997,4035957
Russia,1998,5905955
Russia,1999,10626104
Russia,2000,7513887
Russia,2001,4648191
Russia,2002,2954801
Russia,2003,3079284
Russia,2004,2613561
Russia,2005,2030839
Russia,2006,1303084
Russia,2007,636300
Russia,2008,261755
Russia,2009,229403
Russia,2010,274689
Russia,2011,139015
Russia,2012,134123
Russia,2013,84463
Russia,2014,78887
Russia,2015,127911
Russia,2016,92756
Russia,2017,147000
Russia,2018,138465
Russia,2019,111058
Russia,2020,60539
Rwanda,2000,6784086
Rwanda,2005,6851006
Rwanda,2010,7388221
Rwanda,2013,7370212
Rwanda,2016,7748723
Rwanda (rural),1984,4338249
Saint Lucia,1995,61542
Saint Lucia,2015,11237
Samoa,2002,10862
Samoa,2008,7115
Samoa,2013,8860
Sao Tome and Principe,2000,25085
Sao Tome and Principe,2010,34451
Sao Tome and Principe,2017,26919
Senegal,1991,6185626
Senegal,1994,6280395
Senegal,2001,6575775
Senegal,2005,6132504
Senegal,2011,6959809
Senegal,2018,3089557
Senegal,2021,3135018
Serbia,2012,514615
Serbia,2013,561470
Serbia,2014,633221
Serbia,2015,596715
Serbia,2016,571227
Serbia,2017,466607
Serbia,2018,290058
Serbia,2019,189207
Serbia,2020,140507
Serbia,2021,115932
Serbia,2022,135893
Seychelles,1999,1422
Seychelles,2006,519
Seychelles,2013,1418
Seychelles,2018,652
Sierra Leone,2003,3778485
Sierra Leone,2011,3429799
Sierra Leone,2018,3134026
Slovakia,1992,0
Slovakia,1996,93845
Slovakia,2004,10867
Slovakia,2005,13663
Slovakia,2006,17210
Slovakia,2007,30570
Slovakia,2008,27803
Slovakia,2009,32823
Slovakia,2010,32151
Slovakia,2011,32700
Slovakia,2012,27286
Slovakia,2013,23803
Slovakia,2014,48193
Slovakia,2015,43275
Slovakia,2016,83841
Slovakia,2017,31339
Slovakia,2018,27682
Slovakia,2019,12631
Slovakia,2020,16105
Slovakia,2021,18740
Slovakia,2022,37786
Slovenia,1987,0
Slovenia,1993,0
Slovenia,1997,4597
Slovenia,1999,4902
Slovenia,2004,2260
Slovenia,2005,2490
Slovenia,2006,1585
Slovenia,2007,714
Slovenia,2008,0
Slovenia,2009,327
Slovenia,2010,188
Slovenia,2011,0
Slovenia,2012,540
Slovenia,2013,448
Slovenia,2014,0
Slovenia,2015,100
Slovenia,2016,0
Slovenia,2017,0
Slovenia,2018,0
Slovenia,2019,0
Slovenia,2020,0
Slovenia,2021,0
Slovenia,2022,0
Solomon Islands,2005,303062
Solomon Islands,2012,237966
South Africa,1993,19300141
South Africa,2000,22720560
South Africa,2005,20814019
South Africa,2008,15611942
South Africa,2010,15464954
South Africa,2014,17656480
South Asia (PIP),1990,602213297
South Asia (PIP),1991,606088675
South Asia (PIP),1992,599750931
South Asia (PIP),1993,606256046
South Asia (PIP),1994,601337653
South Asia (PIP),1995,608572890
South Asia (PIP),1996,610326721
South Asia (PIP),1997,621537926
South Asia (PIP),1998,636863645
South Asia (PIP),1999,647990400
South Asia (PIP),2000,661941886
South Asia (PIP),2001,677792989
South Asia (PIP),2002,690156503
South Asia (PIP),2003,688649804
South Asia (PIP),2004,681556466
South Asia (PIP),2005,665730569
South Asia (PIP),2006,634249594
South Asia (PIP),2007,603740658
South Asia (PIP),2008,583288914
South Asia (PIP),2009,565885765
South Asia (PIP),2010,503850325
South Asia (PIP),2011,465891961
South Asia (PIP),2012,433675110
South Asia (PIP),2013,395800639
South Asia (PIP),2014,353854649
South Asia (PIP),2015,306578977
South Asia (PIP),2016,261710910
South Asia (PIP),2017,224883430
South Asia (PIP),2018,196924125
South Asia (PIP),2019,181547679
South Asia (PIP),2020,195237227
South Asia (PIP),2021,167781708
South Asia (PIP),2022,141500039
South Asia (PIP),2023,122054046
South Asia (PIP),2024,107217837
South Asia (PIP),2025,94901747
South Korea,2006,238414
South Korea,2008,233274
South Korea,2010,245739
South Korea,2012,249471
South Korea,2014,119581
South Korea,2016,126657
South Korea,2017,123437
South Korea,2018,128327
South Korea,2019,127650
South Korea,2020,0
South Korea,2021,128784
South Sudan,2009,4148243
South Sudan,2016,8066919
Spain,1980,279357
Spain,1985,175755
Spain,1990,192170
Spain,1993,586878
Spain,1994,492517
Spain,1995,588846
Spain,1996,594804
Spain,1997,394965
Spain,1998,383211
Spain,1999,290833
Spain,2000,370259
Spain,2003,383167
Spain,2004,436065
Spain,2005,374006
Spain,2006,392573
Spain,2007,252858
Spain,2008,256760
Spain,2009,401038
Spain,2010,349100
Spain,2011,603089
Spain,2012,476654
Spain,2013,610305
Spain,2014,440423
Spain,2015,489711
Spain,2016,603911
Spain,2017,388281
Spain,2018,457379
Spain,2019,421479
Spain,2020,519528
Spain,2021,311897
Spain,2022,375018
Sri Lanka,1985,4390757
Sri Lanka,1990,3836192
Sri Lanka,1995,4084658
Sri Lanka,2002,4101373
Sri Lanka,2006,2483512
Sri Lanka,2009,1625055
Sri Lanka,2012,1328234
Sri Lanka,2016,808628
Sri Lanka,2019,589870
Sub-Saharan Africa (PIP),1990,317249901
Sub-Saharan Africa (PIP),1991,332603107
Sub-Saharan Africa (PIP),1992,347851251
Sub-Saharan Africa (PIP),1993,362366194
Sub-Saharan Africa (PIP),1994,373258348
Sub-Saharan Africa (PIP),1995,381693532
Sub-Saharan Africa (PIP),1996,388511077
Sub-Saharan Africa (PIP),1997,396328249
Sub-Saharan Africa (PIP),1998,406033161
Sub-Saharan Africa (PIP),1999,415856367
Sub-Saharan Africa (PIP),2000,424420905
Sub-Saharan Africa (PIP),2001,430119778
Sub-Saharan Africa (PIP),2002,439114608
Sub-Saharan Africa (PIP),2003,444448240
Sub-Saharan Africa (PIP),2004,434905902
Sub-Saharan Africa (PIP),2005,435184145
Sub-Saharan Africa (PIP),2006,435125364
Sub-Saharan Africa (PIP),2007,438710649
Sub-Saharan Africa (PIP),2008,439426480
Sub-Saharan Africa (PIP),2009,446235465
Sub-Saharan Africa (PIP),2010,443775601
Sub-Saharan Africa (PIP),2011,446534035
Sub-Saharan Africa (PIP),2012,448062459
